Place,County/ies[note 2],Population[1],Median household income[6]
Alameda,Alameda,"75,763",$104756.00
Alamo,Contra Costa,"15,639",$239545.00
Albany,Alameda,"19,020",$95400.00
Antioch,Contra Costa,"105,630",$76601.00
Belmont,San Mateo,"26,503",$156052.00
Benicia,Solano,"27,450",$103413.00
Berkeley,Alameda,"115,688",$85530.00
Brentwood,Contra Costa,"54,062",$108994.00
Burlingame,San Mateo,"29,618","$128,447.00"
Campbell,Santa Clara,"40,327",$124525.00
Concord,Contra Costa,"125,017",$89564.00
Corte Madera,Marin,"9,478",$149439.00
Crockett,Contra Costa,"3,151",$79951.00
Cupertino,Santa Clara,"59,787",$171917.00
Daly City,San Mateo,"103,897",$94550.00
Danville,Contra Costa,"42,891",$160808.00
Dublin,Alameda,"49,694",$150299.00
Emeryville,Alameda,"10,497",$102725.00
Foster City,San Mateo,"31,809",$158529.00
Fremont,Alameda,,$133354.00
Gilroy,Santa Clara,"50,776",$101616.00
Half Moon Bay,San Mateo,"11,803",$134177.00
Hayward,Alameda,"149,596",$86744.00
Lafayette,Contra Costa,"24,685",$178889.00
Larkspur,Marin,"12,131",$109426.00
Livermore,Alameda,"83,901",$127452.00
Los Altos,Santa Clara,"29,762",$235278.00
Los Gatos,Santa Clara,"30,163",$155863.00
Menlo Park,San Mateo,"32,792",$160784.00
Mill Valley,Marin,"14,178",$163614.00
Millbrae,San Mateo,861,$128494.00
Milpitas,Santa Clara,"69,346",$132320.00
Moraga,Contra Costa,"16,549",$140378.00
Morgan Hill,Santa Clara,"39,875",$124419.00
Mountain View,Santa Clara,"76,741",$139720.00
Newark,Alameda,"43,635",$116856.00
Novato,Marin,"53,451",$101342.00
Oakland,Alameda,"402,339",$73692.00
Orinda,Contra Costa,"18,390",$223217.00
Orland,Glenn,"7,451","$38,425.00"
Pacifica,San Mateo,"38,283",$125500.00
Palo Alto,Santa Clara,"65,998",$158271.00
Pescadero,San Mateo,"1,046",$120139.00
Pinole,Contra Costa,"18,754",$100315.00
Pleasant Hill,Contra Costa,"33,842",$118947.00
Pleasanton,Alameda,"73,164",$156400.00
Point Reyes Station,Marin,848,$36597.00
Port Costa,Contra Costa,302,$181116.00
Portola Valley,San Mateo,"4,478",$224554.00
Redwood City,San Mateo,"79,736",$117123.00
Richmond,Contra Costa,"106,469","$68,472.00"
Ross,Marin,"2,227",$224500.00
San Anselmo,Marin,"12,527",$128212.00
San Bruno,San Mateo,"42,090",$109387.00
San Carlos,San Mateo,"29,166",$182083.00
San Francisco,San Francisco,"829,072",$112449.00
San Jose,Santa Clara,"986,320",$109593.00
San Leandro,Alameda,"87,159",$78003.00
San Lorenzo,Alameda,"24,563",$97286.00
San Mateo,San Mateo,"100,114",$124842.00
San Rafael,Marin,"58,588",$91742.00
San Ramon,Contra Costa,"73,826",$160783.00
Santa Clara,Santa Clara,"119,525",$126006.00
Saratoga,Santa Clara,"30,627",$191677.00
Sausalito,Marin,"7,043",$111906.00
South San Francisco,San Mateo,"65,537",$105459.00
Sunnyvale,Santa Clara,"145,921",$140631.00
Tiburon,Marin,"9,100",$154915.00
Union City,Alameda,"71,675",$114681.00
Vallejo,Solano,"118,078",$69405.00
Walnut Creek,Contra Costa,"65,923",$105948.00
Woodside,San Mateo,"5,427",$250001.00
