,Rating,City,Review Count,Promoted,Price,Cuisine,Median Household Income (USD)
0,4.8,Alameda,2607.0,0.0,3.0,Contemporary Italian,104756
1,4.8,Alameda,254.0,0.0,2.0,Pizzeria,104756
2,4.6,Alameda,131.0,0.0,3.0,Contemporary American,104756
3,4.8,Alameda,118.0,0.0,2.0,Cocktail Bar,104756
4,4.7,Alameda,289.0,0.0,3.0,Mediterranean,104756
5,4.3,Alameda,1373.0,0.0,2.0,German,104756
6,4.3,Alameda,50.0,0.0,2.0,American,104756
7,4.6,Alameda,354.0,0.0,2.0,Mediterranean,104756
8,4.3,Alameda,856.0,0.0,2.0,Californian,104756
9,4.3,Alameda,269.0,0.0,2.0,Mediterranean,104756
10,4.3,Alameda,273.0,0.0,2.0,Japanese,104756
11,3.9,Alameda,55.0,0.0,2.0,American,104756
12,4.3,Alameda,151.0,0.0,2.0,Italian,104756
13,4.3,Alameda,89.0,0.0,2.0,French American,104756
14,4.0,Alameda,865.0,0.0,2.0,Italian,104756
15,4.5,Alamo,55.0,0.0,2.0,Italian,239545
16,4.6,Albany,296.0,0.0,2.0,Middle Eastern,95400
17,3.6,Albany,91.0,0.0,2.0,Italian,95400
18,4.9,Albany,832.0,0.0,3.0,American,95400
19,4.5,Albany,325.0,0.0,2.0,Pizzeria,95400
20,4.2,Albany,596.0,0.0,2.0,French,95400
21,4.4,Antioch,289.0,0.0,2.0,Seafood,76601
22,4.8,Belmont,2379.0,0.0,3.0,French,156052
23,4.7,Belmont,958.0,0.0,2.0,Italian,156052
24,4.5,Belmont,696.0,0.0,2.0,Comfort Food,156052
25,4.7,Belmont,1805.0,0.0,2.0,Italian,156052
26,4.6,Belmont,63.0,0.0,2.0,Contemporary American,156052
27,4.7,Benicia,1783.0,0.0,2.0,Italian,103413
28,4.6,Benicia,383.0,0.0,2.0,Seafood,103413
29,4.3,Benicia,210.0,0.0,2.0,Gastro Pub,103413
30,4.2,Berkeley,1096.0,0.0,3.0,Californian,85530
31,4.6,Berkeley,864.0,0.0,2.0,Italian,85530
32,4.8,Berkeley,1239.0,0.0,3.0,French,85530
33,4.1,Berkeley,52.0,0.0,2.0,Indian,85530
34,4.5,Berkeley,50.0,0.0,2.0,Ethiopian,85530
35,4.5,Berkeley,162.0,0.0,2.0,Italian,85530
36,4.4,Berkeley,344.0,0.0,2.0,Japanese,85530
37,4.3,Berkeley,879.0,0.0,2.0,Italian,85530
38,4.4,Berkeley,6343.0,0.0,2.0,Seafood,85530
39,4.5,Berkeley,106.0,0.0,3.0,Teppanyaki,85530
40,4.1,Berkeley,75.0,0.0,4.0,Californian,85530
41,3.9,Berkeley,111.0,0.0,3.0,American,85530
42,4.4,Berkeley,487.0,0.0,3.0,Spanish,85530
43,4.4,Berkeley,322.0,0.0,2.0,Italian,85530
44,3.6,Berkeley,72.0,0.0,2.0,American,85530
45,4.3,Berkeley,69.0,0.0,2.0,Italian,85530
46,3.8,Berkeley,79.0,0.0,2.0,Thai,85530
47,4.4,Berkeley,2429.0,0.0,2.0,Italian,85530
48,4.3,Berkeley,93.0,0.0,2.0,Shabu-shabu,85530
49,4.5,Berkeley,3634.0,0.0,3.0,Californian,85530
50,4.5,Berkeley,684.0,0.0,4.0,Californian,85530
51,4.5,Berkeley,60.0,0.0,2.0,Contemporary Indian,85530
52,4.4,Berkeley,1012.0,0.0,2.0,Indian,85530
53,4.4,Berkeley,210.0,0.0,3.0,Asian,85530
54,4.3,Berkeley,2800.0,0.0,3.0,Californian,85530
55,4.5,Berkeley,792.0,0.0,2.0,Japanese,85530
56,4.2,Berkeley,826.0,0.0,2.0,Mediterranean,85530
57,3.6,Berkeley,215.0,0.0,2.0,American,85530
58,4.1,Berkeley,751.0,0.0,2.0,American,85530
59,3.6,Berkeley,144.0,0.0,2.0,Contemporary American,85530
60,4.5,Brentwood,1710.0,0.0,2.0,Steakhouse,108994
61,4.6,Brentwood,501.0,0.0,3.0,Italian,108994
62,4.2,Brentwood,140.0,0.0,2.0,Japanese,108994
63,4.1,Brentwood,130.0,0.0,2.0,American,108994
64,3.9,Brentwood,73.0,0.0,2.0,American,108994
65,4.7,Burlingame,597.0,0.0,2.0,Bistro,128447
66,4.4,Burlingame,3725.0,0.0,2.0,Italian,128447
67,4.6,Burlingame,88.0,0.0,2.0,Greek,128447
68,4.5,Burlingame,3428.0,0.0,2.0,Japanese,128447
69,4.5,Burlingame,381.0,0.0,2.0,Italian,128447
70,4.6,Burlingame,867.0,0.0,2.0,Italian,128447
71,4.8,Burlingame,1342.0,0.0,2.0,Italian,128447
72,4.4,Burlingame,579.0,0.0,2.0,American,128447
73,4.5,Burlingame,216.0,0.0,2.0,Italian,128447
74,4.2,Burlingame,4148.0,0.0,3.0,Seafood,128447
75,4.6,Burlingame,602.0,0.0,2.0,Farm-to-table,128447
76,4.7,Burlingame,740.0,0.0,2.0,Italian,128447
77,4.3,Burlingame,147.0,0.0,2.0,Contemporary American,128447
78,4.5,Burlingame,636.0,0.0,3.0,Japanese,128447
79,4.4,Burlingame,231.0,0.0,2.0,Indian,128447
80,4.8,Burlingame,138.0,0.0,2.0,Italian,128447
81,4.0,Burlingame,125.0,0.0,2.0,Greek,128447
82,4.5,Burlingame,402.0,0.0,3.0,Contemporary Indian,128447
83,4.3,Burlingame,128.0,0.0,2.0,Burmese,128447
84,3.7,Burlingame,163.0,0.0,3.0,Organic,128447
85,3.8,Burlingame,679.0,0.0,2.0,Asian,128447
86,3.8,Burlingame,187.0,0.0,2.0,Italian,128447
87,3.6,Burlingame,113.0,0.0,2.0,Dim Sum,128447
88,4.6,Campbell,2183.0,0.0,2.0,Seafood,124525
89,4.6,Campbell,1912.0,0.0,3.0,Italian,124525
90,4.2,Campbell,1140.0,0.0,3.0,American,124525
91,4.3,Campbell,165.0,0.0,2.0,Greek,124525
92,4.5,Campbell,185.0,0.0,2.0,Italian,124525
93,4.8,Campbell,1958.0,0.0,2.0,Austrian,124525
94,4.6,Campbell,1700.0,0.0,3.0,Japanese,124525
95,4.8,Campbell,596.0,0.0,3.0,Italian,124525
96,4.0,Campbell,153.0,0.0,2.0,Contemporary American,124525
97,3.9,Campbell,711.0,0.0,2.0,Italian,124525
98,4.4,Campbell,900.0,0.0,2.0,American,124525
99,4.0,Campbell,360.0,0.0,2.0,American,124525
100,3.6,Campbell,99.0,0.0,2.0,"Global, International",124525
101,4.3,Campbell,1373.0,0.0,3.0,Italian,124525
102,4.2,Concord,3754.0,0.0,3.0,Japanese,89564
103,4.4,Concord,520.0,0.0,2.0,Contemporary Mexican,89564
104,4.6,Concord,51.0,0.0,3.0,Italian,89564
105,4.2,Concord,117.0,0.0,2.0,Italian,89564
106,4.7,Concord,950.0,0.0,3.0,Brazilian,89564
107,4.1,Concord,62.0,0.0,3.0,Steakhouse,89564
108,4.4,Concord,892.0,0.0,2.0,Italian,89564
109,3.3,Concord,55.0,0.0,4.0,Gastro Pub,89564
110,4.4,Concord,226.0,0.0,2.0,Peruvian,89564
111,4.4,Corte Madera,732.0,0.0,3.0,Mexican,149439
112,4.5,Corte Madera,2601.0,0.0,3.0,Italian,149439
113,4.4,Corte Madera,860.0,0.0,2.0,Seafood,149439
114,4.7,Corte Madera,646.0,0.0,3.0,American,149439
115,4.1,Corte Madera,67.0,0.0,2.0,Contemporary American,149439
116,3.8,Corte Madera,115.0,0.0,2.0,Pizzeria,149439
117,4.6,Crockett,9518.0,0.0,2.0,Seafood,79951
118,4.5,Cupertino,2886.0,0.0,2.0,Japanese,171917
119,4.8,Cupertino,311.0,0.0,3.0,Brazilian Steakhouse,171917
120,3.8,Cupertino,622.0,0.0,2.0,Persian,171917
121,4.5,Cupertino,728.0,0.0,2.0,Japanese,171917
122,4.4,Cupertino,3105.0,0.0,4.0,Steakhouse,171917
123,4.4,Cupertino,3105.0,0.0,4.0,Steakhouse,171917
124,4.2,Cupertino,114.0,0.0,2.0,American,171917
125,4.2,Cupertino,83.0,0.0,4.0,Indian,171917
126,4.1,Cupertino,1575.0,0.0,3.0,Italian,171917
127,4.7,Daly City,1973.0,0.0,2.0,Italian,94550
128,4.6,Danville,4027.0,0.0,2.0,Californian,160808
129,4.6,Danville,823.0,0.0,2.0,Californian,160808
130,4.7,Danville,101.0,0.0,2.0,Japanese,160808
131,4.4,Danville,293.0,0.0,2.0,Mexican,160808
132,4.7,Danville,3663.0,0.0,2.0,Italian,160808
133,4.5,Danville,791.0,0.0,2.0,Californian,160808
134,4.7,Danville,2486.0,0.0,3.0,Steakhouse,160808
135,4.5,Danville,1419.0,0.0,2.0,Italian,160808
136,4.3,Danville,1546.0,0.0,2.0,Mediterranean,160808
137,4.3,Danville,2758.0,0.0,2.0,Californian,160808
138,4.5,Danville,910.0,0.0,2.0,Contemporary American,160808
139,4.5,Danville,62.0,0.0,2.0,Thai,160808
